player,position,team,age,club,birth_year,games,games_starts,minutes,minutes_90s,goals,assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xg_assist,npxg_xg_assist,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90
Adrien Rabiot,MF,France,27-252,Juventus,1995,5,4,388,4.3,1,1,1,0,0,0,0,0.23,0.23,0.46,0.23,0.46,1.0,1.0,0.9,1.9,0.23,0.20,0.43,0.23,0.43
Agustín Canobbio,MF,Uruguay,24-071,Atl Paranaense,1998,1,0,11,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Ahmad Nourollahi,MF,IR Iran,29-312,Al-Ahli Dubai FC,1993,3,3,223,2.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.04,0.00,0.04,0.04,0.04
Ahmed Alaaeldin,FW,Qatar,29-314,Al-Gharafa Sports Club,1993,1,0,6,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Aimen Dahmen,GK,Tunisia,25-317,CS Sfaxien,1997,3,3,270,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Ajdin Hrustic,MF,Australia,26-159,Hellas Verona,1996,3,0,62,0.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.04,0.00,0.04,0.04,0.04
Akram Afif,FW,Qatar,26-023,Al Sadd SC,1996,3,3,270,3.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.3,0.3,0.02,0.10,0.12,0.02,0.12
Alan Franco,MF,Ecuador,24-112,Talleres,1998,2,1,46,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Alejandro Balde,DF,Spain,19-054,Barcelona,2003,4,1,126,1.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.04,0.00,0.04,0.04,0.04
Aleksandar Mitrović,FW,Serbia,28-086,Fulham,1994,3,3,262,2.9,2,0,2,0,0,1,0,0.69,0.00,0.69,0.69,0.69,1.6,1.6,0.7,2.4,0.57,0.24,0.81,0.57,0.81
Alex Sandro,DF,Brazil,31-319,Juventus,1991,3,2,190,2.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.01,0.04,0.05,0.01,0.05
Alex Telles,DF,Brazil,29-361,Sevilla,1992,2,1,59,0.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Alexander Bah,DF,Denmark,25-002,Benfica,1997,2,0,46,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.1,0.11,0.14,0.25,0.11,0.25
Alexander Djiku,DF,Ghana,28-124,Strasbourg,1994,2,1,97,1.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Alexis Mac Allister,MF,Argentina,23-352,Brighton,1998,4,4,350,3.9,1,0,1,0,0,0,0,0.26,0.00,0.26,0.26,0.26,0.3,0.3,0.4,0.7,0.09,0.11,0.21,0.09,0.21
Alexis Vega,FW,Mexico,25-016,Guadalajara,1997,3,3,193,2.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.8,0.8,0.1,0.9,0.39,0.06,0.44,0.39,0.44
Ali Abdi,DF,Tunisia,28-356,Caen,1993,3,2,188,2.1,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.02,0.02,0.00,0.02
Ali Al Hassan,MF,Saudi Arabia,25-282,Al-Nassr,1997,1,1,45,0.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.15,0.00,0.15,0.15,0.15
Ali Al-Bulaihi,DF,Saudi Arabia,33-020,Al-Hilal,1989,3,3,216,2.4,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Ali Assadalla,MF,Qatar,29-326,Al Sadd SC,1993,1,0,27,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Ali Gholizadeh,MF,IR Iran,26-276,Charleroi,1996,3,2,199,2.2,0,1,0,0,0,0,0,0.00,0.45,0.45,0.00,0.45,0.0,0.0,0.2,0.2,0.01,0.07,0.09,0.01,0.09
Ali Karimi,MF,IR Iran,28-303,Kayserispor,1994,3,1,99,1.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Ali Maâloul,DF,Tunisia,32-344,Al Ahly SC,1990,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Alidu Seidu,DF,Ghana,22-190,Clermont Foot,2000,2,2,155,1.7,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.01,0.00,0.01,0.01,0.01
Alireza Beiranvand,GK,IR Iran,30-081,Persepolis,1992,2,2,109,1.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Alireza Jahanbakhsh,MF,IR Iran,29-122,Feyenoord,1993,2,1,59,0.7,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.29,0.00,0.29,0.29,0.29
Alisson,GK,Brazil,30-070,Liverpool,1992,4,4,379,4.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Alistair Johnston,DF,Canada,24-064,CF Montréal,1998,3,3,270,3.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.8,0.8,0.2,1.0,0.27,0.06,0.33,0.27,0.33
Almoez Ali,FW,Qatar,26-114,Al Duhail SC,1996,3,3,224,2.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.0,0.4,0.15,0.00,0.15,0.15,0.15
Alphonso Davies,MF,Canada,22-039,Bayern Munich,2000,3,3,270,3.0,1,0,1,0,1,1,0,0.33,0.00,0.33,0.33,0.33,1.1,0.3,0.5,0.8,0.36,0.17,0.53,0.09,0.27
Amadou Onana,MF,Belgium,21-117,Everton,2001,2,1,104,1.2,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.0,0.5,0.40,0.00,0.40,0.40,0.40
Andre-Frank Zambo Anguissa,MF,Cameroon,27-025,Napoli,1995,3,3,260,2.9,0,1,0,0,0,0,0,0.00,0.35,0.35,0.00,0.35,0.1,0.1,0.0,0.1,0.02,0.00,0.02,0.02,0.02
Andreas Christensen,DF,Denmark,26-245,Barcelona,1996,3,3,270,3.0,1,0,1,0,0,1,0,0.33,0.00,0.33,0.33,0.33,0.4,0.4,0.0,0.4,0.12,0.00,0.12,0.12,0.12
Andreas Cornelius,FW,Denmark,29-270,FC Copenhagen,1993,3,1,92,1.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,1.0,1.0,0.1,1.1,1.00,0.09,1.09,1.00,1.09
Andreas Skov Olsen,FW,Denmark,22-347,Club Brugge,1999,2,2,132,1.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.16,0.00,0.16,0.16,0.16
Andrej Kramarić,FW,Croatia,31-175,Hoffenheim,1991,5,5,343,3.8,2,0,2,0,0,0,0,0.52,0.00,0.52,0.52,0.52,1.6,1.6,0.1,1.7,0.41,0.02,0.43,0.41,0.43
Andries Noppert,GK,Netherlands,28-248,Heerenveen,1994,5,5,480,5.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Andrija Živković,DF,Serbia,26-153,PAOK,1996,3,3,210,2.3,0,2,0,0,0,0,0,0.00,0.86,0.86,0.00,0.86,0.1,0.1,1.1,1.2,0.03,0.48,0.50,0.03,0.50
André Ayew,MF,Ghana,32-359,Al Sadd SC,1989,3,3,198,2.2,1,0,1,0,1,1,0,0.45,0.00,0.45,0.45,0.45,1.1,0.4,0.0,0.4,0.52,0.00,0.52,0.16,0.16
André Onana,GK,Cameroon,26-253,Inter,1996,1,1,80,0.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
André Silva,FW,Portugal,27-035,RB Leipzig,1995,1,0,26,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.21,0.21,0.00,0.21
Andrés Guardado,MF,Mexico,36-074,Betis,1986,1,1,41,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Anis Ben Slimane,MF,Tunisia,21-270,Brøndby,2001,2,2,148,1.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.2,0.07,0.06,0.12,0.07,0.12
Ansu Fati,FW,Spain,20-041,Barcelona,2002,2,0,46,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Ante Budimir,FW,Croatia,31-142,Osasuna,1991,2,0,55,0.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.37,0.07,0.44,0.37,0.44
Anthony Contreras,FW,Costa Rica,22-316,Club Sport Herediano,2000,3,2,125,1.4,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.01,0.01,0.00,0.01
Antoine Griezmann,MF,France,31-265,Atlético Madrid,1991,5,4,377,4.2,0,3,0,0,0,1,0,0.00,0.72,0.72,0.00,0.72,0.7,0.7,2.6,3.3,0.16,0.62,0.78,0.16,0.78
Antoine Semenyo,FW,Ghana,22-338,Bristol City,2000,2,0,20,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.22,0.00,0.22,0.22,0.22
Antonee Robinson,DF,United States,25-125,Fulham,1997,4,4,359,4.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.3,0.3,0.00,0.07,0.07,0.00,0.07
Antonio Rüdiger,DF,Germany,29-283,Real Madrid,1993,3,3,270,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.8,0.8,0.0,0.8,0.25,0.00,0.25,0.25,0.25
Antony,FW,Brazil,22-290,Manchester Utd,2000,4,1,172,1.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.1,0.4,0.15,0.08,0.22,0.15,0.22
António Silva,DF,Portugal,19-042,Benfica,2003,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Ao Tanaka,MF,Japan,24-092,Düsseldorf,1998,3,2,171,1.9,1,0,1,0,0,0,0,0.53,0.00,0.53,0.53,0.53,1.0,1.0,0.1,1.0,0.55,0.05,0.60,0.55,0.60
Ardon Jasari,FW,Switzerland,20-134,Luzern,2002,1,0,2,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Arkadiusz Milik,FW,Poland,28-286,Juventus,1994,3,1,101,1.1,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.1,0.3,0.22,0.09,0.31,0.22,0.31
Artur Jędrzejczyk,DF,Poland,35-037,Legia Warsaw,1987,1,0,19,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Asiri Haitham,FW,Saudi Arabia,21-261,Al-Ahli,2001,1,0,2,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Assim Madibo,MF,Qatar,26-050,Al Duhail SC,1996,2,2,153,1.7,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.02,0.02,0.00,0.02
Atiba Hutchinson,MF,Canada,39-306,Beşiktaş,1983,3,2,159,1.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.07,0.00,0.07,0.07,0.07
Aurélien Tchouaméni,MF,France,22-318,Real Madrid,2000,5,5,411,4.6,1,0,1,0,0,1,0,0.22,0.00,0.22,0.22,0.22,0.3,0.3,0.4,0.7,0.07,0.09,0.16,0.07,0.16
Awer Mabil,MF,Australia,27-087,Cádiz,1995,2,0,24,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Axel Disasi,DF,France,24-275,Monaco,1998,2,1,91,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.07,0.00,0.07,0.07,0.07
Axel Witsel,MF,Belgium,33-333,Atlético Madrid,1989,3,3,270,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.1,0.01,0.02,0.02,0.01,0.02
Ayase Ueda,FW,Japan,24-092,Cercle Brugge,1998,1,1,45,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.02,0.02,0.00,0.02
Aymeric Laporte,DF,Spain,28-198,Manchester City,1994,3,3,300,3.3,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.1,0.01,0.01,0.02,0.01,0.02
Aziz Behich,DF,Australia,31-360,Dundee United,1990,4,4,360,4.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.03,0.00,0.03,0.03,0.03
Azzedine Ounahi,MF,Morocco,22-236,Angers,2000,5,5,443,4.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.5,0.6,0.01,0.10,0.11,0.01,0.11
Aïssa Laïdouni,MF,Tunisia,25-363,Ferencváros,1996,3,3,243,2.7,0,1,0,0,0,1,0,0.00,0.37,0.37,0.00,0.37,0.1,0.1,0.4,0.6,0.05,0.16,0.21,0.05,0.21
Baba Rahman,DF,Ghana,28-162,Reading,1994,3,2,183,2.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.3,0.3,0.00,0.15,0.15,0.00,0.15
Badr Banoun,DF,Morocco,29-072,Qatar SC,1993,2,0,27,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Bailey Wright,DF,Australia,30-136,Sunderland,1992,1,0,17,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Bamba Dieng,FW,Senegal,22-263,Marseille,2000,4,0,100,1.1,1,0,1,0,0,0,0,0.90,0.00,0.90,0.90,0.90,0.5,0.5,0.1,0.6,0.45,0.05,0.50,0.45,0.50
Bartosz Bereszyński,DF,Poland,30-152,Sampdoria,1992,4,4,341,3.8,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Bassam Al-Rawi,DF,Qatar,24-360,Al Duhail SC,1997,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.03,0.03,0.00,0.03
Ben Davies,DF,Wales,29-231,Tottenham,1993,3,3,238,2.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.0,0.3,0.13,0.00,0.13,0.13,0.13
Benjamin Pavard,DF,France,26-258,Bayern Munich,1996,1,1,88,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Bernardo Silva,MF,Portugal,28-123,Manchester City,1994,5,4,356,4.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.4,0.5,0.04,0.09,0.14,0.04,0.14
Borna Barišić,DF,Croatia,30-031,Rangers,1992,1,1,120,1.3,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.02,0.12,0.14,0.02,0.14
Borna Sosa,DF,Croatia,24-324,Stuttgart,1998,4,4,379,4.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.4,0.4,0.02,0.09,0.10,0.02,0.10
Boualem Khoukhi,DF,Qatar,32-155,Al Sadd SC,1990,3,3,270,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Boulaye Dia,FW,Senegal,26-025,Salernitana,1996,4,4,318,3.5,1,0,1,0,0,1,0,0.28,0.00,0.28,0.28,0.28,0.7,0.7,0.0,0.8,0.21,0.01,0.22,0.21,0.22
Brandon Aguilera,MF,Costa Rica,19-166,Asociación Deportiva Guanacasteca,2003,3,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Breel Embolo,FW,Switzerland,25-300,Monaco,1997,4,4,323,3.6,2,0,2,0,0,0,0,0.56,0.00,0.56,0.56,0.56,2.3,2.3,0.1,2.4,0.64,0.03,0.66,0.64,0.66
Brenden Aaronson,MF,United States,22-050,Leeds United,2000,4,0,108,1.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.2,0.3,0.06,0.18,0.24,0.06,0.24
Brennan Johnson,FW,Wales,21-202,Nott'ham Forest,2001,3,0,91,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.21,0.00,0.21,0.21,0.21
Bruno Fernandes,FW,Portugal,28-094,Manchester Utd,1994,4,4,356,4.0,2,3,1,1,1,1,0,0.51,0.76,1.26,0.25,1.01,1.1,0.3,1.7,2.0,0.28,0.42,0.71,0.08,0.51
Bruno Guimarães,MF,Brazil,25-025,Newcastle Utd,1997,2,0,69,0.8,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.7,0.7,0.0,0.7,0.92,0.00,0.92,0.92,0.92
Bruno Petković,FW,Croatia,28-086,Dinamo Zagreb,1994,4,1,168,1.9,1,0,1,0,0,1,0,0.54,0.00,0.54,0.54,0.54,0.1,0.1,0.3,0.5,0.08,0.22,0.30,0.08,0.30
Bryan Mbeumo,FW,Cameroon,23-126,Brentford,1999,3,3,233,2.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.3,0.5,0.08,0.11,0.19,0.08,0.19
Bryan Oviedo,DF,Costa Rica,32-296,Real Salt Lake,1990,3,3,260,2.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Bryan Ruiz,MF,Costa Rica,37-115,Liga Deportiva Alajuelense,1985,1,0,30,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Bukayo Saka,FW,England,21-097,Arsenal,2001,4,4,288,3.2,3,0,3,0,0,0,0,0.94,0.00,0.94,0.94,0.94,0.6,0.6,0.7,1.3,0.20,0.20,0.40,0.20,0.40
Callum Wilson,FW,England,30-287,Newcastle Utd,1992,2,0,48,0.5,0,1,0,0,0,0,0,0.00,1.87,1.87,0.00,1.87,0.0,0.0,0.9,0.9,0.00,1.70,1.70,0.00,1.70
Cameron Carter-Vickers,DF,United States,24-345,Celtic,1997,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Carlos Gruezo,MF,Ecuador,27-236,Augsburg,1995,1,1,45,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Carlos Martínez,DF,Costa Rica,23-256,AD San Carlos,1999,1,1,45,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Carlos Soler,MF,Spain,25-343,Paris S-G,1997,2,0,92,1.0,1,0,1,0,0,0,0,0.98,0.00,0.98,0.98,0.98,0.5,0.5,0.2,0.7,0.78,0.26,1.04,0.78,1.04
Casemiro,MF,Brazil,30-291,Manchester Utd,1992,4,4,390,4.3,1,0,1,0,0,1,0,0.23,0.00,0.23,0.23,0.23,0.4,0.4,0.1,0.6,0.10,0.04,0.14,0.10,0.14
Celso Borges,MF,Costa Rica,34-198,Liga Deportiva Alajuelense,1988,3,3,249,2.8,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.02,0.02,0.00,0.02
Charles De Ketelaere,FW,Belgium,21-276,Milan,2001,1,0,16,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Charly Rodríguez,MF,Mexico,25-342,Cruz Azul,1997,2,0,34,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Cheikhou Kouyaté,MF,Senegal,32-355,Nott'ham Forest,1989,1,1,72,0.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.05,0.05,0.00,0.05
Cho Guesung,FW,Korea Republic,24-320,Jeonbuk,1998,4,3,275,3.1,2,0,2,0,0,1,0,0.65,0.00,0.65,0.65,0.65,1.1,1.1,0.0,1.1,0.35,0.01,0.36,0.35,0.36
Cho Yumin,FW,Korea Republic,26-024,Daejeon Citizen FC,1996,1,0,1,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Chris Mepham,DF,Wales,25-036,Bournemouth,1997,3,3,270,3.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.2,0.00,0.07,0.07,0.00,0.07
